,names_all,name_index,match,Cluster
5510,Ford Customer Service Division,5510,"[3581, 5513, 15030, 10170, 302, 15392, 10160, 4143, 8189, 831, 16641, 3072, 11503, 16887, 15047, 939, 9933]",13
5511,Ford Kansas City Assembly Ap06 A,5511,"[11120, 1874, 12022, 16435, 302, 7751, 5472, 1863, 3644, 2319, 16943]",11
5512,Ford Michigan Assembly Plant,5512,"[2323, 9228, 7652, 10261, 5833, 12022, 118, 12509, 16365, 9060]",11
5513,Ford Motor Co.,5513,"[16255, 12509, 6227, 16343, 5039, 16167, 5937, 8910, 6828]",10
5514,Ford Motor Co. Michigan,5514,"[7800, 2769, 12527, 5833, 5834, 15030, 16043, 16343, 6936, 12509]",14
5515,Ford Motor Co. Sa De Cv,5515,"[12509, 5039, 5936, 1313, 8910, 879, 15476, 10022, 16167]",13
5516,Ford Vietnam Ltd.,5516,"[10429, 2241, 13374, 15491, 11221, 3483, 12891]",13
5517,Forech India,5517,"[12280, 12431, 10780, 2266, 13596, 9073, 11029, 3029, 15511, 4694, 2403, 7430, 12800, 1357, 6871, 12706, 10660, 16049, 12140, 2018, 8275, 1627, 9690, 16263, 8968, 11740, 14556, 5384, 934, 17514, 14225, 14861, 3860, 10717, 15588, 17271, 7839, 12509, 5519, 11249, 1705, 12863, 10907, 15609]",14
5518,Forech India Private Ltd.,5518,"[8295, 16800, 5238, 12863, 1813, 4654, 13353, 2076, 4636, 3628, 12836, 2425, 6122, 7447, 10077, 2732, 15087, 1062, 4657, 13061, 12808, 3454, 2015, 2289, 12097, 14437, 5855, 6527, 17102, 5707, 17208, 16778, 10997, 6857, 8701, 10292, 9115, 9751, 6586, 17169, 779, 16443, 43, 10512, 769, 6862, 11594, 5898, 9981, 3305, 2751, 7121, 415, 12958, 5860, 16906, 16594, 3511, 15247]",14
5519,Forech Mining & Const Int Llp,5519,"[14998, 6556, 6355, 11036, 15047, 5517, 5768, 3644, 9060, 15030, 7550, 7148]",12
5520,Forech Mining & Construction International Llp,5520,"[6558, 6936, 2390, 13434, 2403, 7550, 311, 14998, 8744, 16373, 5768, 6556, 7634, 16435, 7282, 5744]",11
5521,Foremost Agencies,5521,"[16907, 13161, 10429, 1573, 3072, 5509, 262, 12808, 13202, 3430, 1171]",14
5522,Fores Elastomech India Private Ltd.,5522,"[16909, 3062, 16070, 13681, 8642, 16999, 5351, 3628, 16443, 12950, 495, 4742, 8126, 13760, 10182, 8212, 17474, 2269, 6857, 2757, 13586, 10564, 2425, 5898, 92, 16576, 2177, 2769, 2266, 6586, 16455, 9677, 2978, 12808, 4743, 5509, 262, 3860, 199, 12958, 1357, 13162, 12740, 4067, 7387, 14861, 2403, 10903, 12426, 3453, 5768, 6891]",14
5523,Forest Rugby Union Club,5523,"[4657, 17029, 13202, 11120, 9677, 13103, 12808, 11071, 16255, 10784]",11
5524,Forestali De Mexico Sa De C.V.,5524,"[812, 14554, 16843, 14954, 3669, 417, 10076, 16431, 9334, 14568, 3262, 4830, 6845, 7105, 13374, 15047, 7223, 8384, 3133, 7837, 14904, 909, 9684, 5368, 9737, 9159, 7104, 4966, 3630, 11929, 6964, 11863, 3048, 15416, 7483, 488, 15666, 4917, 4660, 7557, 8336, 8929, 7751]",6
5525,Forestali De Mexico Sa De Cv,5525,"[1965, 16476, 8384, 15666, 14610, 9334, 4762, 9673, 16498, 411, 9737, 11058, 4461, 16641, 14478, 6855, 812, 947, 4906, 202, 11081, 9161, 15416, 11929, 7484, 7751, 10243, 16431, 3669, 200, 17823, 15030, 3896, 909, 3133, 16843, 15611, 11408, 2734, 7105]",6
5526,Forever Gold Trading Llc,5526,"[14950, 10263, 3630, 14547, 7234, 2098, 16343, 13163, 10503, 4398, 7358, 592, 5509, 6148, 577, 5193, 5149, 9278, 13167, 12497, 9680, 593, 7863, 13284, 3644]",10
5527,Forever New Clothing (Pty) Ltd.,5527,"[5509, 10186, 12509, 9087, 9110]",14
5528,Forin Container Line,5528,"[3260, 13637, 12023, 3837, 9917, 11895, 6586, 7159, 8467, 3438, 965, 16120]",19
5529,Forma2004 Srl .,5529,"[16688, 23, 8106, 9247, 11262, 17045, 4001, 10952, 5536, 5509, 7436, 4814, 5728, 7904, 4671, 14562, 9604, 9463, 3997, 1355, 9161, 5521, 11433, 16825, 10523, 9637, 11427, 11426, 6416, 4000, 12592, 7146, 7642, 6092]",10
5530,Forman Shipping Usa Inc.,5530,"[10799, 2109, 16444, 6979, 12647, 9247, 2106, 6558, 10261, 17215, 118, 7542, 7540]",25
5531,Forman Shipping Usa Inc. Los Angel,5531,"[16233, 2531, 10889, 4879, 5747, 2106, 4590, 5623, 17507, 17215, 93, 3644, 11536, 12587, 14502, 4461, 6284, 12754, 16251, 8150]",10
5532,Formiline Industria De Laminados Ltda,5532,"[13681, 12745, 14918, 12567, 3630, 9005, 10423, 14545, 10925, 7510, 2646, 7507, 10498, 16626, 11802, 15187, 2839, 10781, 7461, 8379, 8189, 15706, 12509, 11221, 17506, 9413, 10150, 7462, 111, 12867, 8242, 3397, 2097, 11524, 7470, 9999, 2535, 7498, 15590, 12543, 7464, 7465, 17602, 15644, 6006, 205, 12643, 2148, 5699]",18
5533,Formosa Global Solutions Inc.,5533,"[12931, 393, 764, 92, 6080, 5187, 14598, 2067, 5472, 10347, 6068, 13167, 13368, 15030, 16626, 12022, 13638, 12592, 2503, 4630, 9087, 1461, 12654, 10895]",12
5534,Formosa Industries Corp,5534,"[9462, 9136, 8633, 16535, 15122, 5509, 17558, 16151, 15252, 5469, 597, 13202, 3456, 15365, 1496, 11662, 721, 13362, 7781, 7481, 7444, 3724, 7284, 6952, 14553, 523, 16120, 411, 15215, 9489, 14229, 2839, 15117, 8407, 15590, 981, 6193, 16347, 8515, 10512, 11510, 6067, 16285, 15030, 14645, 5294, 15090, 4964, 11612, 11740, 15088, 4897, 15152, 9038, 6050, 118, 1244, 14053, 2257, 3644, 17602, 8290, 16343, 5342, 17217, 7416, 15093, 1138, 2405, 3516, 2055, 16094, 17640, 7853, 6006, 15644, 3123, 9670, 13201, 1270, 4889, 11021, 15108, 11023, 13730, 15840, 8514, 11842, 3437, 9172, 5024, 2400, 7404, 1807, 14443, 15964, 7911, 6999]",18
5535,Formosa Plastics Corp.,5535,"[7760, 3492, 16626, 10507, 9060, 12600, 16283, 6363, 15030, 16579, 1282, 15072, 807, 5545, 4260, 2869, 10600, 11623, 5342, 11040, 5834, 17734, 10098, 6963, 806, 12202, 11728, 7403, 9509, 10227, 13272, 12572]",11
5536,Formosa Synthetic Rubber (Ningbo) Corporation  Ltd.,5536,"[15596, 15520, 15729, 2403, 12042, 11040, 13202, 15391, 3982, 7154, 15396, 16684, 15423, 15755, 7159, 11910, 12113, 7304, 15389, 12102, 290, 3630, 7569, 15392, 16921, 14419, 10680, 10011]",11
5537,Forte (Pak) Ltd.,5537,"[15549, 15700, 17793, 10515, 14870, 1453, 9126, 13502, 7980, 16241, 15589, 4966, 9614, 17414, 5488, 10516, 7043]",22
5538,Fortex Fortiflex Inc. 9 Road 696,5538,"[15713, 10292, 354, 10214]",6
5539,Fortuna Global Shipping And Logisti,5539,"[2107, 1238, 2152, 2378, 13369, 16640, 2323, 3824, 7282, 9096, 2661, 16292, 4172, 4464, 813, 92, 7148, 15971, 8225, 11536, 16612, 8637, 11237, 3644, 6038, 2073, 11071, 16040, 828, 12017, 14502, 6075, 4255, 8208, 2176]",12
5540,Fortunare Inc.,5540,"[3182, 13928, 2762, 4731, 15302, 5541, 15831, 6149, 4852, 6370, 5509]",11
5541,Fortunatekstil Llc,5541,"[801, 7282, 15030, 5854, 6355, 5509, 5540, 10186]",21
5542,Fortune & Honor International Bidding Corporation,5542,"[4708, 3630, 3064, 11038, 15416]",15
5543,"Fortune Global Trade Pvt., Ltd.",5543,"[354, 5537, 12654, 227, 2810, 10292, 4680, 16572, 13638, 8270, 13206, 6122, 16188, 15978, 2180, 9652]",12
5544,Forward Commercial Shen Zhenco. Ltd.,5544,"[8588, 4857, 5509, 12798, 3158, 10429, 3152, 4523, 10292, 354]",10
5545,Forward Plastic(Shenzhen) Ltd.,5545,"[14596, 8018, 14848, 17243, 5228, 10186, 6788, 6355, 6391, 15710, 13680, 16100, 10174, 17077, 1019, 8415]",11
5546,Forward Rugby Wear,5546,"[7309, 10292, 16613, 4453, 13111]",11
5547,Forward Sports (Pvt) Ltd.,5547,"[5768, 5544, 3529, 1942, 5337, 10258, 922, 5759, 12666, 14646, 17624, 1966, 8588, 4002]",22
5548,Forwarding Minfer & Logistics,5548,"[1050, 12587, 3138, 17001, 7129, 8225, 14566, 4995, 2407, 16490, 5587, 2206, 2661, 16626, 6930, 17571, 1501, 8588, 6498, 118, 4479, 6932, 11179, 1262, 16474, 11082, 34, 12290, 12600, 16469, 5768, 4445, 7751, 5142, 11120, 5744, 14576, 7937, 17239, 5629, 16202, 14696, 16234, 10635, 3261, 4137, 5310, 5747]",12
5549,Foseco Div Of Vesuvius Usa,5549,"[3133, 16616]",25
5550,"Foshan Baichen Polymer New Materials Co., Ltd.",5550,"[15937, 1217, 15717, 1938, 2100, 3437, 10261, 2769, 16087, 16803, 17718, 1934, 11711, 9583, 8150, 9247, 3829, 17678, 11774, 16771, 12022, 6627, 2378, 92, 11579, 10925, 488, 643, 1193, 2283, 974]",37
5551,"Foshan Cheng Hung Footwear Co., Ltd.",5551,"[11774, 13374]",11
5552,"Foshan City Medical Devices Co., Meridian Power",5552,"[7751, 4711, 13670, 3566, 11869, 8445, 17214, 9415, 9809, 12509, 9755]",13
5553,Foshan City Nan Hai Sino American Toys Manufacturer,5553,"[8556, 8304, 11054, 118, 14723, 11061, 887, 16300, 16616, 1864, 9809, 5183, 16154, 866, 515, 4708, 6558, 9466, 10535, 8151, 9060, 13407, 15396]",13
5554,"Foshan City Nanhai District Xin Hui Imp. & Exp. . Co., Ltd.",5554,"[488, 14195, 9215, 8912, 16364, 16552, 92, 232, 17342, 7223, 17361, 14012, 10605, 13475, 1514, 7694, 3000, 17581, 16748, 14038, 12984, 14172]",15
5555,"Foshan City Yi Si High Trade Co., Ltd.",5555,"[11774, 16435, 14930, 8150, 3437, 7107, 13159, 7282]",10
5556,"Foshan Gaomingxiba Leather Products Co., Ltd.",5556,"[12395, 1245, 15932, 8581, 8445, 6860, 12335, 4708, 6744, 9379, 10621, 8849, 13753, 7223, 6627, 16343, 12017, 4940, 6623, 7654, 458, 12592]",11
5557,"Foshan Huaxu Plastic Mold Co., Ltd.",5557,"[4461, 14334, 7159, 11611, 9060, 10495, 16579, 15165, 4722, 7149, 11613, 13680, 5768, 8581, 6627]",11
5558,"Foshan Huiton Chemical Co., Ltd.",5558,"[16148, 12646, 11032, 13890, 2813, 16114, 11671, 10699, 13919, 12704, 4621, 6623, 2693, 6724, 13409, 12695, 4708, 13844, 4187, 11774, 10216]",21
5559,"Foshan Jie Bei Auto Parts Co., Ltd.",5559,"[13374, 14324, 13515, 8581, 4461, 11221, 9292, 1857, 8150, 12017, 15329]",10
5560,"Foshan Jindingcheng Plastics And Rubber Co., Ltd.",5560,"[2326, 6689, 92, 2390, 1217, 10600, 9430, 4067, 8854, 10948, 5517, 5948, 16921, 15047, 4140, 7148, 11910, 17734, 5585, 13681, 3363, 7813, 15030, 7391, 15602, 16611, 15877, 2310, 70, 8231]",11
5561,"Foshan Kai Li Furniture Co., Ltd.",5561,"[15329, 16616, 16343, 6623, 4085, 6677, 92, 118, 8704, 5578, 1457]",11
5562,"Foshan Kaili Nonwoven Cloth And Shoes Materials Mfg. Co., Ltd.",5562,"[13304, 4343, 11072, 7148, 6936, 9677, 939, 8445, 6630, 4992, 4991, 13162, 6554, 5561, 7149, 17378, 16616, 13374, 16759, 3438, 5570, 10292]",13
5563,"Foshan Markrise Co., Ltd.",5563,"[11774, 9541, 15538, 12022, 8445, 10172, 15537]",11
5564,"Foshan Nan Pao Goldman Advanced Materials Co., Ltd.",5564,"[13551, 8849, 965, 16300, 11774, 369, 15329, 16770, 17487, 13374, 9423, 758, 6528, 8683, 10429, 12903, 9583, 3437, 10348, 365, 14334, 59, 6656]",13
5565,"Foshan Nanhai City Yue Electronics Co., Ltd.",5565,"[1863, 15469, 7159, 1952, 12022, 2769, 3261, 10302, 335, 302, 3260, 8968, 16343, 5585, 9247, 10784]",11
5566,"Foshan Nanhai District Baoda Toys Co.,Ltd.",5566,[10331],10
5567,"Foshan Nanhai Giant Exhibition Rubber & Plastic Co., Ltd.",5567,"[10087, 10507, 1282, 15120, 7304, 6656, 11034, 6586, 2161, 1903, 3913, 6449, 13825, 11774, 1769, 807, 7908, 8740, 16145, 1791, 6556, 9065, 14288, 16287, 11619, 2390, 4511, 8849, 5744, 3062, 9507, 976, 10947, 7115, 8445, 13551]",11
5568,"Foshan Nanhai Hefeng Rubber Product Co., Ltd.",5568,"[6623, 10264, 389, 4217, 13426, 11414, 488, 4699, 7474, 7388, 4249, 7149, 13551, 14058, 12509, 13167, 7366, 17709, 11774, 6291, 1706, 6556, 16343, 14724, 11755, 6656, 11369, 13374, 5891, 17259, 4649, 14926]",11
5569,Foshan Nanhai Hiroaki Adhesives Ltd.,5569,"[13374, 965, 354, 16641, 12592, 967, 3953, 16616, 6627, 17017, 5472, 12960, 339, 385, 5570, 3721, 12022]",10
5570,"Foshan Nanhai Jiandi Shoes Materials Co., Ltd.",5570,"[12903, 6555, 488, 967, 7617, 4310, 495, 11774, 10292, 14998, 17785, 11072, 7159, 199, 13622, 1350, 1175, 6627, 10543, 14334, 8581, 9308, 6656, 3630, 9247, 898, 16770, 6451, 6623, 4993, 5569, 9588]",11
5571,"Foshan Nanhai Jianhuang Shoes Material And Products Co., Ltd.",5571,"[7159, 15014, 4993, 5890, 9583, 8150, 15329, 9379, 12587, 15867, 488, 955, 8581, 9602, 10784, 1794, 10078, 14334, 5570, 411, 8744, 17249, 15868, 15984, 9247, 6627, 14995, 1193, 16196, 4708, 10261]",11
5572,"Foshan Nanhai Meitai Precision Diecasting Co., Ltd.",5572,"[13426, 3873, 7753, 9701, 14334, 10186, 4999, 6556, 5768, 8445, 10261, 5569, 6355, 16871, 4830, 2605, 8370, 16616, 13680]",11
5573,"Foshan Nanhai Yutian Trade Imp. & Exp. Co., Ltd.",5573,"[11811, 17581, 227, 965, 15576, 14060, 8912, 14133, 9350, 9228, 17733, 12399, 7863, 5686, 3437, 10949, 13374, 5472, 13167, 14038, 16255, 15571, 12592, 13927, 232, 14062, 14930, 103, 10295, 3062, 13206, 9324, 13426, 16552, 3192, 13969, 17564, 10302]",15
5574,"Foshan New Changsheng Plastics Films Co., Ltd.",5574,"[5142, 11611, 11534, 13998, 7223, 16626, 14334, 11034, 1514, 14848, 6586, 11221, 15477, 5575, 4463, 10087, 11378, 9988]",11
5575,"Foshan Sanshui Hecheng Plastics Hardware Product Co., Ltd.",5575,"[10098, 16579, 2080, 1245, 9379, 16624, 9065, 6656, 4208, 2759, 2769, 10261, 5891, 5142, 11627, 11034, 15416, 5835, 5834, 12022, 6870, 6355]",11
5576,"Foshan Sanshui Sanlian Plastic Material And Product Co., Ltd.",5576,"[12903, 70, 5890, 14391, 1175, 15379, 7148, 4699, 7252, 6355, 9423, 10429, 955, 4991, 16433, 14256, 11817, 6463, 17256, 13374, 1249, 2080, 808, 7724, 14075, 7149, 15984, 7159, 4708, 4461, 12855, 5571, 11609, 5472, 2961, 7223, 993, 6860, 4793, 8150, 10566, 5744, 27, 16124, 2185]",11
5577,"Foshan Shunde Beisu Trade Co., Ltd.",5577,"[3630, 8150, 6392, 15477, 13167, 11774, 12955, 2128, 13999, 1902, 14005]",10
5578,"Foshan Shunde Furniture Co., Ssangyong",5578,"[4461, 92, 7223, 3072, 16287, 2142, 6604, 11071, 6627]",11
5579,"Foshan Shunde Jizhou Dexing Plastic Products Co., Ltd.",5579,"[5580, 6558, 92, 3644, 2961, 6627, 16079, 17408, 15736, 15228, 4370, 8086, 6556, 14334, 15719, 16178, 5833, 14254, 6433, 5472, 6285, 2649, 11593, 10098, 11780]",11
5580,"Foshan Shunde Lang Mei Carpet Co., Ltd.",5580,"[9933, 12017, 9286, 5581, 11481, 5810, 4711, 5809, 7159, 16943, 4686, 27, 92, 5835]",13
5581,Foshan Shunde Rongsheng Plastic,5581,"[17734, 5579, 10098, 15329, 17702, 16626, 5574, 5747, 14258, 11779, 13202, 5585, 13681, 11221, 14334, 5576]",11
5582,"Foshan Shunde Ying Yi Footwear Co., Ltd.",5582,"[11036, 5551, 5580, 5585, 1267, 16943, 6630, 12022, 8901, 15146]",11
5583,"Foshan Tongshui Technology Co., Ltd.",5583,"[17050, 7367, 7252, 10141, 11774, 342, 8473, 17808, 7156, 14021, 15030, 14691, 15098, 16626, 17303, 4306, 14019, 13765, 3392, 4341, 7227, 14268, 16274, 12202]",23
5584,"Foshan Yawei Imp. & Exp. Trade Co., Ltd.",5584,"[3644, 15571, 7923, 688, 13204, 10292, 9228, 9471, 12496, 10553, 17780, 9215, 1511, 17581, 2010, 4708, 4938, 5697, 5472, 8433, 13783, 12444, 8796, 1479, 5744, 103, 13385, 13495, 4224, 6443, 12870, 16616, 12174, 13914, 15905, 8475, 12004, 12587, 11811, 4379, 16643, 10626, 14579]",15
5585,"Foshan Yonghe Toy Co., Ltd.",5585,"[2605, 4686, 14109, 5581, 6627, 8015, 12022, 13448, 8698, 16974, 4461, 17773]",11
5586,Fospak Private Ltd.,5586,"[8295, 16746, 1921, 10931, 12809, 6898, 1453, 11221, 7424, 17260, 2555, 1119, 11925, 7539, 5896, 1136, 12903, 14328, 5855, 645, 1516, 7442, 5495, 9591, 1002, 12509, 16408, 3800]",14
5587,Four Season Logistics,5587,"[7129, 3138, 8363, 9175, 11619, 7937, 15939, 13855, 7616, 8208, 3543, 2152, 4172, 3057, 714, 16718, 12353, 9106, 3520, 1468, 12770, 17341, 9571, 12837, 2579, 10767, 4708, 4479, 6558, 10188, 15180, 5058, 661, 10261, 447, 16608, 4332, 17552, 14814, 11120]",12
5588,Fourny NV,5588,"[15686, 10294, 7818, 11145, 5163, 12531, 15432, 10274, 9269, 13220, 7197, 17843, 11380, 13241, 16364, 10032, 8260, 9260, 8455, 7312, 11582, 7175, 10839, 8761, 13249, 7192, 8512, 7189, 7190, 8786, 5776, 17926, 8128, 16410, 7503, 6131, 7706, 11144, 8753, 17860, 13246, 8763, 7186, 5780, 16712, 9258, 15837, 9111, 15111, 9250, 7176, 11695, 10846, 16647, 10682, 6202, 5771, 17889, 7826, 14669, 12005, 7184, 13264, 10975, 11150, 13261, 12779, 6576, 17576, 8254]",4
5589,Fox And Lillie (Pty) ) Ltd.,5589,"[118, 11120, 9312]",12
5590,Fox Cargo,5590,"[16354, 16082, 16411, 725, 2538, 3064, 16485, 5210, 671, 4808, 6043, 1775, 14845, 7714, 2711, 449]",12
5591,Fox Tradelinks (P) Ltd.,5591,"[15477, 12955, 16196, 13167, 12548, 1863, 11536, 8314, 15047]",10
5592,Fpi Fireplace Products Internationa,5592,"[16749, 4993, 302, 13161, 1467, 4992, 12461, 11937, 6240, 3243, 16626, 2913, 13202, 7654, 13181, 4991, 7595, 303, 4463]",11
5593,Fps Logistics (Usa) Inc.,5593,"[12871, 5056, 10642, 5047, 17151, 3732, 17101, 13915, 16638, 15941, 10187, 6010, 14814, 7690, 13866, 12288, 15395, 15298, 6406, 16565, 7282, 3261, 4949, 5354, 8363, 8818, 4349, 6930, 4005, 17189, 16696, 3426, 5090, 3688, 2394, 1052, 16208, 13891, 10785, 10505, 5042, 1801, 2303, 8637, 16882, 8610, 3200, 14238, 5310, 3614, 5097, 12372, 877, 15426, 8937, 6467, 6424, 14031, 16234, 8956, 11253, 47, 15549, 13623, 9604, 4146, 12692, 10687, 3543, 5067, 11120, 3198, 6318, 10689, 16525, 14263, 4722, 15109, 10790, 5619, 14596, 2858, 1235, 8516, 13167, 16608, 9106, 17366, 13015, 2073, 1922, 9047, 12816, 8219, 3825, 9089, 5909, 1560, 13738, 113, 14536, 6937, 102, 5142]",12
5594,Fr Depot Principal Feuquiere Sandvi,5594,"[4067, 11219, 14609, 13286, 16616, 630, 7148, 4925, 1791, 3775, 7753, 10784]",13
5595,Fr Meyer's Sohn (Gmbh Co) Kg,5595,"[12807, 12587, 9816, 3072, 13167]",19
5596,Fr Meyers Sohn,5596,"[4686, 5595, 13396]",19
5597,Fr. Meyer's Sohn North America Llc,5597,"[13396, 13455, 12855, 3064, 13003, 9809, 1669, 12661, 17825, 13162, 4686, 13202, 13602, 7023, 15102, 9847, 13380, 7223, 4927, 4983, 13037, 15043, 1904, 11061]",13
5598,Fraco Fabrica Colombiana De Repuestos Automotores S.A.,5598,"[8075, 5839, 261, 12509, 2403, 16300, 3191, 5607, 3604, 8979, 15030, 5203, 11377, 5183, 4657]",21
5599,Fragmat TIM d.o.o.,5599,"[16142, 12239, 7184, 13224, 8269, 8763, 16649, 15400, 12005, 9665, 11532, 15446, 14362, 11151, 8152, 7189, 6229, 14523, 14739, 16959, 6575, 11156, 15458, 8786, 14757, 5777, 13243, 16410, 10206, 16678, 10032, 8761, 15103, 15457, 5782, 11135, 13265, 11783, 15687, 15449, 14742, 11139, 15608, 7196, 15443, 16651, 11130, 5164, 15049, 16646, 9111, 15794, 7727, 10835, 8255, 15499, 13261, 11155, 8716, 17267, 14282, 13220, 7186, 15451, 13250, 17576, 8768, 7819, 11592, 1524, 7183, 13248, 13257, 19, 7893, 17425, 16755, 13258]",4
5600,Fragon Produtos Para Industria De Borracha Ltda,5600,"[13162, 8234, 1926, 13504, 12021, 15090, 4533, 9057, 7471, 3533, 11204, 7511, 16362, 1137, 7462, 15537, 12207, 1304, 12586, 11299, 1712, 7461, 6952, 13206, 10135, 1255, 7510, 15250, 16481, 8423, 14383, 11954, 2999, 6240, 15408, 195, 3560, 15152, 7515, 12567, 15093, 5469, 1352, 404, 832, 1210, 15644, 1138, 5912]",18
5601,Frais Industries Comercio,5601,"[5469, 4416, 7480, 16345, 5877, 13172, 4935, 7444, 13685, 12643, 926, 8633, 10454, 14622, 1402, 7447, 10429, 331, 12755, 7454, 7516, 1514, 6719, 6583, 10405, 3456, 8580, 411, 13730, 83, 8883, 12502, 17588, 15161, 12543, 10116, 12808, 11656, 14986, 5892, 13758, 7724, 9035, 10170, 7781, 16730, 10394, 15348, 8311]",18
5602,Frakt Logistics Transportes Internacionais Ltda,5602,"[5416, 16118, 9091, 17189, 744, 3037, 3045, 11654, 16120, 9418, 1799, 17083, 4794, 5616, 8231, 2394, 9578, 5296, 1124, 4868, 16240, 11266, 13162, 6556, 4831, 447, 16638, 10128, 14566, 2402, 9037, 8403, 2747, 798, 2604, 738, 4481, 13652, 6010, 17407, 16041, 13202, 7751, 311, 7608, 7387, 14767, 17571]",12
5603,Franc Hanna Trading,5603,"[16452, 13856, 1409, 4724, 2730, 4380, 16343, 8236, 5220, 15477, 3666, 13869, 846, 15522, 1963, 10701, 9921, 17800, 3489, 8241, 10054, 14547, 262, 820, 16493, 7282, 10292, 13521, 9830, 10448, 10121, 16892, 672, 3502]",10
5604,Franchiz Services Inc.,5604,"[14331, 6583, 9691, 14938, 16130, 3630, 10429, 14279, 16369, 1331, 14759, 7159, 9678, 10065, 1500, 837, 5684, 7149, 287, 16237, 9909, 1257, 5649, 14818, 12223, 15001, 14097, 7262, 9056, 7150, 11834, 4593, 8538, 304, 6071, 11326]",19
5605,Francisco Javier Nungaray Ramirez,5605,"[10784, 16501, 15956, 12808, 10429, 8298, 1001, 993, 16759, 14334, 9936, 5834, 9935]",13
5606,Francisco Mendi S.L,5606,"[2319, 3429, 1001, 993, 262]",14
5607,Franco Fabril Sa Cordoba,5607,"[1514, 5187, 5598]",21
5608,Frank W. Winne & Sons Inc.,5608,"[14856, 8744, 14609, 13434, 8250, 8723, 14998, 9056]",15
5609,Franke Faber India Private Ltd.,5609,"[2198, 1000, 12863, 10077, 354, 7387, 5517, 11830, 15171, 7390, 5768, 6891, 15026, 3329, 8357, 5767, 2378, 12864, 17834, 3677, 12800, 15680, 2978, 667, 3511, 4708, 4148, 2733, 4460, 970, 12431, 14837, 1756, 5238, 16594, 1277, 9056, 4694, 6935, 8388, 3038]",14
5610,Franke Food Service Systems Philippines Inc.,5610,"[5768, 4143, 16804, 9060, 16867, 2659, 10303, 6282, 12900, 13671, 8551, 13285, 3051, 16975, 4982, 5727, 7639, 10661, 9740, 2101, 12509, 7207, 9041, 11753, 14304]",25
5611,"Franke Foodservice Systems (China) Co., Ltd.",5611,"[10292, 4464, 354, 8642, 9228, 10182, 5610, 8551, 1783, 9153, 12426, 262, 7570, 14279]",12
5612,Franklin Fueling Systems India Private Ltd.,5612,"[7149, 199, 970, 7265, 3454, 1863, 6558, 10784, 15604, 2199, 993, 5611, 13695, 15680, 12637, 7301, 10020, 7391, 6359, 14837, 16496, 8523, 1880, 16263, 2096, 8212, 687, 4460, 8884, 2269, 7741, 16635, 10790, 16850, 16909, 16800, 8934, 12587, 3628, 8974]",14
5613,"Franstek Belts Pvt., Ltd.",5613,"[2067, 302, 9583, 4686, 5615, 92, 5614, 939]",18
5614,Fras Le,5614,"[6880, 7500, 7504, 464, 1364, 2323, 4107, 10598, 7509, 12592, 9465, 5930, 11815, 11478, 7486, 3212, 14793, 13563, 4104, 9047, 3213]",18
5615,Fras Le S.A.,5615,"[4894, 7626, 5601, 7486, 4953, 7493, 9113, 13167, 7500, 3870, 7491, 5999, 5617]",18
5616,Fras Le Sa,5616,"[2804, 8328, 1952, 9113, 5106, 857, 13691, 7493, 302, 3255, 5601, 7510, 5999, 13161, 2667, 464, 4953, 6535, 9799, 7504]",11
5617,Fraser Y Compania S.A.S,5617,"[411, 1217, 5203, 3133, 12587, 993, 4560, 3437, 3223, 3740, 6627, 10429, 3386, 6251]",10
5618,Frasmar Inc.,5618,"[14502, 10170, 3068, 405, 12243, 17738, 11221, 4102, 12623, 9346, 10172, 92, 9767]",13
5619,Frayte Logistics Ltd.,5619,"[3480, 16693, 17552, 12278, 6010, 7994, 14596, 12320, 16291, 10642, 14027, 12285, 5067, 3543, 11265, 849, 7223, 7665, 5465, 13340, 446, 15962, 16638, 4332, 12267, 15939, 17083, 11845, 3045, 3521, 5819, 6358, 48, 12807, 15176, 11539, 12450, 9096, 5097, 7960, 5602, 17101, 8637, 10787, 3861, 6932, 7616, 483, 17480, 5757, 15298, 502, 2607, 12201, 12600, 5358, 13891, 12442, 6281, 12837, 12264, 3814, 10888, 16542, 10187, 10999, 1801]",12
5620,Fred Meyer,5620,"[5642, 2821, 5509, 5597, 1826, 9760]",6
5621,Frederic Schad C Por A,5621,"[5355, 92, 12816, 354, 5509, 16605, 2403, 12759, 13567]",22
5622,Free Way Artefatos De Couro Ltda,5622,"[8849, 17033, 11071, 92, 12017, 17462, 6556, 1514, 118, 12759]",19
5623,Freemans Plc,5623,"[92, 9541, 9641, 5472]",11
5624,Freeport Ship Services,5624,"[14279, 5127, 92, 14334, 3876, 14320, 11378, 5352, 16365, 4923]",23
5625,"Freewill Sports Pvt., Ltd.",5625,"[16298, 7282, 9956, 16182, 13045, 17315, 3630, 4082, 8878, 5760, 11997]",22
5626,Freight Brokers Global Services,5626,"[6787, 6038, 3912, 4711, 16835, 8270, 6239, 15428, 9291, 4708, 2308, 1134, 6558, 5098, 9652, 12946]",12
5627,Freight Links International (Pte),5627,"[4555, 6355, 4711, 5009, 7289, 2229, 7570, 5051, 10392, 11120, 2741, 287, 10862, 12509]",6
5628,Freight Master,5628,"[15355, 5009, 9588, 5429, 9744, 7599, 3056, 5003, 10861, 9900, 10880, 12866, 9574, 4708, 9643, 4555, 16585, 6354, 16343, 1217, 17081, 10883, 6777]",6
